"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora"
"Argentina";"ARG";"Primera B Metropolitana";"28-06-2026 15:00";"NS";"Arsenal de Sarandí";"";"";"Dock Sud";"";"";"3.8";"2.7";"4.2";"2.6";"6.6";"5.9";"95";"85";"70";"70";"5.6";"6.2";"4";"2.4";"3.4";"2.5"
"Argentina";"ARG";"Primera B Metropolitana";"28-06-2026 15:00";"NS";"Argentino Merlo";"";"";"Comunicaciones";"";"";"3.7";"2.7";"2.4";"2.8";"5.8";"5.9";"95";"80";"70";"65";"5.6";"5.4";"2.3";"2.2";"3.6";"2.6"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"Independiente Chivilcoy";"";"";"Douglas Haig";"";"";"2";"2.4";"2.3";"2.1";"4.4";"4.7";"75";"60";"45";"25";"4.4";"4.1";"2.1";"2.1";"1.8";"2.2"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"El Linqueño";"";"";"Sportivo Belgrano";"";"";"2.6";"2.6";"1.5";"2.3";"4.5";"4.7";"85";"65";"65";"20";"4.4";"4.3";"1.4";"2.2";"2.4";"2.6"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"Sol de América";"";"";"San Martín Formosa";"";"";"2.1";"2.1";"2.6";"3.2";"5";"4.7";"90";"65";"55";"45";"4.4";"4.6";"2.4";"2.8";"2";"2.1"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"Germinal de Rawson";"";"";"Deportivo Santamarina";"";"";"4.1";"3.3";"1.9";"1.6";"5.4";"4.7";"90";"84";"74";"48";"4.4";"5";"1.6";"1.5";"3.9";"3"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"Villa Mitre";"";"";"Alvarado";"";"";"1.9";"1.7";"3.8";"3.5";"5.4";"4.7";"95";"70";"60";"60";"4.4";"5.2";"3.6";"3.4";"1.9";"1.5"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"Circulo Deportivo";"";"";"Olimpo";"";"";"2.5";"2";"2.9";"2.5";"5";"4.7";"90";"85";"55";"30";"4.4";"4.8";"2.9";"2.5";"2.4";"1.9"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:00";"NS";"Kimberley Mar del Plata";"";"";"Guillermo Brown";"";"";"2.6";"1.6";"2.6";"1.6";"4.2";"4.7";"89";"48";"36";"20";"4.4";"3.9";"2.2";"1.6";"2.6";"1.4"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:30";"NS";"Escobar FC";"";"";"Gimnasia Concepción";"";"";"2.1";"2.7";"3.3";"2.1";"5.1";"4.7";"95";"75";"70";"35";"4.4";"4.7";"2.9";"2";"2";"2.5"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:30";"NS";"Juventud Antoniana";"";"";"Defensores Pto. Vilelas";"";"";"3.1";"2.4";"3.1";"3";"5.8";"4.7";"90";"85";"75";"60";"4.4";"5.4";"2.8";"2.8";"2.9";"2.3"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 15:30";"NS";"Costa Brava";"";"";"San Martín Mendoza";"";"";"2.6";"2.8";"3.9";"2.4";"5.8";"4.7";"95";"75";"65";"60";"4.4";"5.3";"3.3";"2.2";"2.4";"2.7"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 16:00";"NS";"9 de Julio Rafaela";"";"";"Gimnasia Chivilcoy";"";"";"2";"2.2";"2.1";"3.7";"5";"4.7";"82";"76";"65";"36";"4.4";"4.4";"1.9";"3.2";"1.6";"2.2"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 16:00";"NS";"Sarmiento de La Banda";"";"";"Bartolomé Mitre";"";"";"1.9";"1.9";"2.3";"2.4";"4.2";"4.7";"85";"70";"40";"20";"4.4";"4.2";"2.3";"2.4";"1.8";"1.8"
"Argentina";"ARG";"Torneo Federal A";"28-06-2026 16:00";"NS";"Sarmiento Resistencia";"";"";"Tucumán Central";"";"";"2.6";"3.7";"2";"2.8";"5.6";"4.7";"90";"80";"70";"60";"4.4";"5.1";"1.8";"2.6";"2.6";"3.1"
"Argentina";"ARG";"Reserve League";"28-06-2026 11:00";"INPLAY_1ST_HALF";"Vélez Sársfield Res.";"1";"0";"Newell's Old Boys Res.";"1";"0";"2.3";"1.7";"3.5";"2.2";"4.8";"5.2";"80";"65";"45";"40";"4.9";"4.6";"3.2";"2.2";"2.1";"1.7"
"Argentina";"ARG";"Reserve League";"28-06-2026 14:00";"NS";"Boca Juniors Res.";"";"";"Atlético Tucumán Res.";"";"";"1.6";"2.3";"2.7";"2.7";"4.6";"5.2";"80";"75";"55";"35";"4.9";"4.3";"2.4";"2.7";"1.4";"2.1"
"Argentina";"ARG";"Copa Santa Fe";"28-06-2026 15:00";"NS";"Argentino Rosario";"";"";"Union Arroyo Seco";"";"";"3.7";"";"4.3";"";"";"5.5";"";"";"";"";"5";"";"4";"";"3.3";""
"Argentina";"ARG";"Copa Santa Fe";"28-06-2026 15:30";"NS";"Náutico El Quillá";"";"";"Atlético Tostado";"";"";"";"";"";"";"";"5.5";"";"";"";"";"5";"";"";"";"";""
"Argentina";"ARG";"Copa Santa Fe";"28-06-2026 16:00";"NS";"Atlético Rafaela";"";"";"Sportivo Suardi";"";"";"3";"";"1.4";"";"";"5.5";"";"";"";"";"5";"";"1.2";"";"2.8";""
"Argentina";"ARG";"Copa Santa Fe";"28-06-2026 16:00";"NS";"Atlético Brown";"";"";"Sanjustino";"";"";"";"";"";"";"";"5.5";"";"";"";"";"5";"";"";"";"";""
"Australia";"AUS";"Queensland Premier League 3 Metro";"28-06-2026 02:00";"FT";"Logan Roos";"1";"1";"Yeronga Eagles";"1";"0";"2.1";"0.6";"1.6";"1.8";"3";"3.8";"54";"38";"26";"5";"3.5";"2.7";"1.5";"1.6";"1.8";"0.5"
"Australia";"AUS";"Queensland Premier League 3 Metro";"28-06-2026 04:00";"FT";"Redcliffe PCYC";"2";"4";"Mt Gravatt Hawks";"0";"3";"1.5";"2.9";"1.8";"1.6";"3.8";"3.8";"66";"40";"34";"14";"3.5";"3.6";"1.6";"1.6";"1.1";"2.7"
"Australia";"AUS";"Queensland Premier League 3 Metro";"28-06-2026 04:00";"FT";"North Brisbane";"2";"0";"Ipswich Knights";"1";"0";"2.5";"2";"0.6";"1.9";"3.5";"3.8";"93";"34";"22";"7";"3.5";"3.2";"0.5";"1.6";"2.4";"2"
"Australia";"AUS";"Capital Territory";"28-06-2026 02:00";"FT";"Canberra FC";"1";"2";"Tuggeranong United";"1";"1";"1.4";"0.5";"2.7";"1";"2.8";"3.7";"50";"25";"25";"20";"3.5";"2.5";"2.4";"0.8";"1.3";"0.5"
"Australia";"AUS";"Capital Territory";"28-06-2026 02:00";"FT";"Gungahlin Juventus";"2";"0";"Brindabella Blues";"0";"0";"1.7";"1.6";"3.1";"1.2";"3.8";"3.7";"75";"55";"25";"10";"3.5";"3.6";"2.9";"1.2";"1.7";"1.4"
"Australia";"AUS";"New South Wales";"28-06-2026 02:00";"FT";"Marconi Stallions";"2";"0";"Blacktown City";"1";"0";"1.7";"1.4";"2.4";"1.5";"3.5";"3.7";"64";"38";"22";"16";"3.5";"3.2";"2.1";"1.4";"1.7";"1.3"
"Australia";"AUS";"New South Wales";"28-06-2026 03:15";"FT";"APIA Leichhardt Tigers";"0";"2";"Rockdale Ilinden FC";"0";"1";"1.2";"2";"1.8";"1.2";"3.1";"3.7";"52";"42";"32";"21";"3.5";"3";"1.8";"1.1";"1.2";"1.9"
"Australia";"AUS";"Npl Tasmania";"28-06-2026 01:30";"FT";"Kingborough Lions";"2";"1";"Devonport City";"1";"0";"1.6";"1.9";"2.6";"2.3";"4.1";"3.4";"93";"64";"36";"28";"3.3";"4.1";"2.6";"2.3";"1.6";"1.9"
"Australia";"AUS";"Npl Tasmania";"28-06-2026 01:30";"FT";"Launceston City";"1";"0";"South East United";"0";"0";"1.2";"2.4";"2.3";"1.4";"3.7";"3.4";"64";"58";"24";"24";"3.3";"3.6";"2.3";"1.2";"1.2";"2.4"
"Australia";"AUS";"Npl Queensland";"28-06-2026 02:00";"FT";"Gold Coast United";"0";"1";"Moreton City Excelsior";"0";"0";"1.3";"1.2";"1.1";"2.3";"3";"3.9";"50";"35";"20";"10";"3.7";"2.9";"1.1";"2.3";"1.2";"1.2"
"Australia";"AUS";"Npl Queensland";"28-06-2026 04:00";"FT";"Queensland Lions";"6";"2";"Wynnum Wolves FC";"2";"0";"1";"1.5";"1.9";"1.3";"2.8";"3.9";"60";"50";"15";"0";"3.7";"2.6";"1.7";"1.3";"1";"1.2"
"Australia";"AUS";"Npl Victoria";"28-06-2026 02:30";"FT";"South Melbourne";"1";"2";"Green Gully";"0";"1";"1.1";"2.3";"1.3";"1.9";"3.3";"3.5";"55";"40";"25";"10";"3.4";"3.2";"1.3";"1.9";"1.1";"2.2"
"Australia";"AUS";"Northern Nsw";"28-06-2026 02:00";"FT";"Broadmeadow Magic";"5";"1";"Weston Workers FC";"1";"1";"1.4";"1.4";"1.6";"1.4";"3";"3.1";"68";"38";"7";"0";"2.9";"2.8";"1.6";"1.3";"1.4";"1.3"
