"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora"
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 10:00";"NS";"Atyrau W";"";"";"Turan Turkistan W";"";"";"";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 11:00";"NS";"Tobol Kostanay W";"";"";"Zhenys Astana W";"1.7 | 5.3";"4 | 1.8";"6.4";"42";"25";"8";"0";"";"";"";"";"";"";"7.7";"";"33 | 67";"7";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 13:30";"NS";"Sportfreunde Schwaig";"";"";"Jahn Regensburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 15:30";"CANCELLED";"SE Døns";"";"";"AFC Hornchurch";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"East Kilbride";"";"";"Celtic II";"5.1 | 5.2";"3.9 | 5.4";"9.8";"89";"84";"68";"26";"21.8";"14 | 12.4";"5.9 | 11.4";"10.2";"6.2 | 6";"2.4 | 5.8";"9";"62 | 40";"22 | 40";"10";"4.6 | 5.4"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Viktoria Plzeň";"";"";"FC København";"6.5 | 6";"3.2 | 5.2";"10.4";"80";"75";"65";"50";"27.2";"17.9 | 17.3";"9.6 | 9.7";"9.8";"6.6 | 6.6";"3.2 | 3.1";"9";"60 | 70";"80 | 60";"10";"7.9 | 4.3"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Fakel";"";"";"Rostov";"4.6 | 4.6";"3.2 | 5.4";"8.9";"60";"50";"40";"30";"17.4";"7.8 | 10.1";"5.7 | 11.4";"5";"1.9 | 3.9";"0.9 | 3.4";"9";"70 | 40";"60 | 30";"9";"3.4 | 9.9"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"CFR Cluj";"";"";"Noah";"4.5 | 4";"3.9 | 3.6";"8";"68";"49";"28";"16";"22";"13.5 | 10.1";"11.2 | 9.3";"7.5";"3.5 | 4.1";"3.8 | 3.6";"9";"50 | 100";"50 | 25";"8";"9 | 3.7"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"SV Horn";"";"";"Floridsdorfer AC";"5.7 | 4.8";"4.4 | 4.4";"9.6";"72";"72";"62";"33";"20.5";"11.4 | 9.1";"8.7 | 11.7";"7";"3.6 | 3.4";"3.8 | 3.2";"9";"33 | 22";"33 | 44";"10";"8.1 | 5.1"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Pogon Grodzisk Mazowiecki";"";"";"Trenčín";"6.8 | 5.3";"6 | 6.3";"12.2";"95";"90";"84";"58";"26.4";"10.9 | 14.9";"13.8 | 13.2";"9.3";"3.2 | 5.2";"5.4 | 4.7";"9";"67 | 11";"44 | 30";"11";"13.6 | 5.7"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Podbeskidzie";"";"";"Banik Ostrava B";"4.5 | 3.9";"4.7 | 5.8";"9.4";"80";"65";"50";"35";"23";"12.9 | 12";"11.9 | 9.2";"8.9";"6.1 | 4.6";"3.6 | 3.5";"9";"50 | 30";"50 | 40";"9";"5.9 | 7.5"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Viktoria Köln";"";"";"TSV Steinbach";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Karviná";"";"";"Zemplín Michalovce";"4.5 | 4.5";"6.1 | 4.9";"10";"75";"70";"55";"35";"27.1";"13 | 12.3";"14.2 | 14.7";"8.9";"4.2 | 3.2";"5.9 | 4.5";"9";"30 | 50";"40 | 40";"10";"7 | 7.3"
