"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Asia Talas";"";"";"Abdish-Ata";"";"";"46 | 52";"88 | 41";"";"44 | 43";"2.5 | 1.1";"44 | 41";"2.7 | 3";"";"";"";"80 | 30";"10 | 20";"10 | 50";"83 | 37";"90 | 50";"90 | 80";"20 | 70";"3x1 | 2x1";"10.3";"2.6 | 1.2";"1.7 | 1.5";"3.5";"";"";"10 | 10";"7 | 3.6";"5 | 5";"5.7";"2.7 | 3.2";"3.3 | 2.2";"2.3 | 2.6";"2.7 | 1.4";"4.5";"4"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Neftchi Kochkor-Ata";"";"";"OshMU-Aldier";"";"";"49 | 49";"41 | 51";"";"56 | 53";"1.3 | 1.5";"51 | 52";"2.5 | 5.3";"8";"50 | 25";"25";"40 | 40";"10 | 30";"50 | 30";"43 | 50";"50 | 70";"90 | 70";"60 | 60";"1x0 | 1x1";"9";"1.2 | 1.5";"1.6 | 1.6";"3";"48 | 50";"";"10 | 10";"3 | 8";"2 | 5";"2.9";"1.7 | 1.5";"1.7 | 1";"2 | 3.5";"1.3 | 2.5";"4.6";"4"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Kara-Balta";"";"";"Talant";"";"";"4 | 63";"31 | 27";"";"48 | 53";"0.1 | 0.8";"45 | 51";"4.9 | 8.5";"10";"10 | 60";"30";"0 | 10";"10 | 50";"90 | 40";"3 | 27";"10 | 60";"90 | 50";"100 | 90";"0x2 | 1x1";"11.8";"0.9 | 0.8";"2.9 | 1.2";"2.9";"46 | 50";"";"10 | 10";"4.4 | 6.8";"6.4 | 5.8";"3.8";"2.7 | 1.3";"1.9 | 1.6";"1.6 | 1.7";"1.7 | 2.7";"3.8";"4"
"Lithuania";"LTU";"A Lyga";"06-07-2026 12:45";"NS";"Sūduva";"";"";"TransINVEST Vilnius";"";"";"70 | 63";"54 | 58";"";"56 | 52";"1.9 | 1.8";"48 | 56";"6.7 | 7.1";"7";"43 | 14";"43";"50 | 50";"40 | 30";"10 | 20";"63 | 60";"90 | 80";"60 | 70";"50 | 50";"2x1 | 1x1";"19.6";"1.6 | 1.7";"1 | 1.2";"2.8";"52 | 48";"";"10 | 10";"10.7 | 12";"9 | 7.5";"8.2";"3.5 | 3.6";"4.9 | 4.4";"1.8 | 2.8";"1 | 1.4";"3.5";"4.1"
"Lithuania";"LTU";"A Lyga";"06-07-2026 13:30";"CANCELLED";"Banga";"";"";"FK Riteriai";"";"";"100 | 14";"48 | 10";"";"52 | 40";"1.9 | 0.4";"49 | 37";"8.3 | 20.7";"10";"50 | 20";"30";"50 | 10";"40 | 10";"10 | 80";"63 | 13";"90 | 20";"60 | 90";"50 | 90";"1x0 | 4x0";"19.4";"1.4 | 0.3";"0.4 | 2.6";"2.4";"48 | 45";"";"10 | 10";"11.6 | 6.2";"7.9 | 13.1";"8.4";"3 | 7.3";"4.6 | 1.9";"1.4 | 1.6";"2.2 | 1.3";"3.2";"4.1"
"Latvia";"LVA";"Virsliga";"06-07-2026 13:00";"NS";"Super Nova";"";"";"Ogre United";"";"";"46 | 2";"31 | 37";"";"42 | 38";"0.8 | 0.7";"41 | 38";"7.3 | 6.4";"4";"75 | 0";"25";"20 | 20";"20 | 10";"60 | 70";"27 | 23";"40 | 30";"80 | 90";"80 | 80";"1x2 | 3x1";"26.2";"0.9 | 1.1";"1.7 | 3.1";"3.4";"45 | 40";"";"10 | 10";"8.9 | 9.6";"14.8 | 19.1";"10.1";"5.8 | 7.6";"3.7 | 3.1";"2 | 2.1";"2.2 | 2.2";"4.2";"4.4"
"Mongolia";"MNG";"Premier League";"06-07-2026 01:00";"NS";"Ulaanbaatar";"";"";"Deren";"";"";"66 | 63";"95 | 100";"";"54 | 58";"2.4 | 1.6";"61 | 62";"4.8 | 3.9";"10";"50 | 30";"20";"80 | 50";"0 | 10";"20 | 40";"80 | 53";"80 | 60";"100 | 90";"20 | 50";"2x0 | 2x0";"21.8";"2.8 | 3.3";"1.1 | 1.2";"4.2";"55 | 57";"";"10 | 10";"13.5 | 12.8";"9.8 | 7.5";"9.8";"4.1 | 3.6";"6.1 | 5.8";"2 | 1";"1.6 | 1.4";"3";"3.5"
"Mongolia";"MNG";"Premier League";"06-07-2026 04:00";"NS";"Khangarid";"";"";"Central Stallions";"";"";"49 | 60";"85 | 92";"";"54 | 52";"1.7 | 1.5";"59 | 58";"5 | 4.9";"9";"44 | 22";"33";"50 | 40";"20 | 30";"30 | 30";"57 | 50";"70 | 70";"80 | 70";"50 | 60";"2x1 | 1x1";"22.4";"2.5 | 2.7";"1.6 | 1.3";"4";"51 | 51";"";"10 | 10";"12.4 | 13.1";"9 | 10.4";"10.4";"4.7 | 4.4";"5.2 | 6.5";"2 | 1.9";"2.9 | 1.1";"4";"3.5"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Kamboi Eagles";"";"";"East End Lions";"";"";"80 | 66";"37 | 61";"";"52 | 49";"2 | 1.6";"42 | 47";"5 | 5.7";"9";"11 | 67";"22";"60 | 40";"20 | 40";"20 | 20";"67 | 53";"80 | 80";"80 | 60";"40 | 60";"1x0 | 0x0";"16.8";"1.1 | 1.8";"0.7 | 1.1";"2.4";"51 | 50";"7 | 5";"10 | 10";"5.5 | 10.3";"8.2 | 9.6";"6.4";"2.2 | 3.7";"2.2 | 4.7";"1.1 | 1.6";"1.9 | 1";"2.8";"2.4"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Mighty Blackpool";"";"";"Bhantal";"";"";"60 | 66";"24 | 14";"";"56 | 58";"0.9 | 0.4";"50 | 45";"16.3 | 16.8";"5";"0 | 40";"60";"20 | 0";"30 | 40";"50 | 60";"30 | 13";"50 | 40";"70 | 60";"80 | 100";"0x1 | 0x0";"16";"0.7 | 0.4";"1.3 | 1.1";"1.8";"51 | 48";"12 | 9";"10 | 10";"11.4 | 6.7";"9.2 | 4.6";"6.4";"4.6 | 2.6";"3.4 | 2.1";"1.6 | 1.8";"2 | 1.5";"3.4";"2.4"
